"id","title","author","genre_sugerido","confianca","assuntos_encontrados"
"27a21ab5-218f-41b9-a14d-0ccf0bf0ec5f","Salem","Stephen King","Terror","2","Catholic Church | arson | Great Depression | hitmen | Horror fiction | City and town life | Cuentos de terror | Fiction | Vampires | Adapted for Television | horror tales | Reading Level-Grade 9 | Reading Level-Grade 11 | Reading Level-Grade 10 | Reading Level-Grade 12 | Authors | Fiction, occult & supernatural | Fiction, horror | Authors, fiction | Large type books | Vampires, fiction | New england, fiction | Maine, fiction | Écrivains | Romans, nouvelles | Polish language materials | Literatura grozy amerykańska | Tłumaczenia polskie | Powieść amerykańska | American Horror tales | crucifixes | rosaries | devotional medals | Douay–Rheims Bible | myocardial infarction | short stories | manservants | Puritans | Madonna and Child | inverted crosses | runes | De Vermis Mysteriis | occult | rail fence ciphers | bastards | suicide | inbreeding | witchcraft | cults | eastern whip-poor-wills | nosferatu | undead | Vampires -- Fiction. | City and town life -- Fiction. | Maine -- Fiction."
"4d03dea2-19ab-4dec-9f2b-e9ca1e753123","Sandman: Preludios e Noturnos","Neil Gaiman","SEM SUGESTÃO","0",""
"f21256bc-a78a-4209-bb57-8c82155796ab","Sao Bernardo","Graciliano Ramos","SEM SUGESTÃO","0","Fiction"
"79ec1191-a995-4138-ac85-ce19a1d10cfe","Sapiens: Uma Historia Grafica","Yuval Noah Harari","SEM SUGESTÃO","0",""
"a4c22c02-1478-45cc-b450-08650c4fbdf0","Scott Pilgrim Vol. 1","Bryan Lee O Malley","HQs","2","Comics & graphic novels, general"
"4f5dbe68-6725-4818-97ce-7b9b1fbd4728","Sem Esperanca","Colleen Hoover","SEM SUGESTÃO","0",""
"7f731c71-7d38-416e-ab47-20b8831c746e","Senhora","Jose de Alencar","Clássicos","1","Fiction | Women | Modern fiction | Brazilian Novel And Short Story | Literature - Classics / Criticism | European - Spanish & Portuguese | Literary | Brazil | Rio de Janeiro (Brazil) | Brazil, fiction | Fiction, general | Social conditions"
"640559d6-bba4-436e-a52c-9673d0cab288","Seveneves","Neal Stephenson","Ficção Científica","2","Survival | Exploration | Disasters | Fiction | Fiction, science fiction, general | nyt:hardcover-fiction=2015-06-07 | New York Times bestseller | New York Times reviewed | Space colonies | Pioneers | End of the world | American Science fiction | Life on other planets | Exploration of outer space | Earth (planet) | Fiction, science fiction, action & adventure | Long Now Manual for Civilization"
"11b91dca-9bfa-443c-9586-0049f083d214","Simon vs. A Agenda Homo Sapiens","Becky Albertalli","SEM SUGESTÃO","0",""
"b41824d3-9f89-49ea-baf8-c970eabcf144","Slam Dunk Vol. 1","Takehiko Inoue","HQs","3","Basketball | Basketball stories | Juvenile fiction | High school students | Basketball players | Comic books, strips | Basketball teams | High schools | Cartoons and comics | Graphic novels | Translations into English | Sports stories | Comics & graphic novels, manga, sports | Japan, fiction"
"ab493968-0bdd-47ac-ad27-027f8b6fc0d5","Snow Crash","Neal Stephenson","Ficção Científica","4","American Science fiction | Open Library Staff Picks | ready player one | Fiction | Science fiction | Suspense | open_syllabus_project | American fiction | Fiction, science fiction, general | Fiction, humorous | Virtual reality | Fiction, science fiction, hard science fiction | Fiction, humorous, general | Fiction, fantasy, general | Hackers | Computer viruses | Cyberpunk culture | Cyberspace | Sumerian Mythology | Long Now Manual for Civilization | Cyberpunk | Fantasy | Dystopia | Science Fiction Fantasy | Novels | Speculative Fiction"
"3fd2404d-cf21-484a-aeed-89f90e36ec64","Sociedade do Cansaco","Byung-Chul Han","SEM SUGESTÃO","0",""
"14f7238b-2e50-4b24-b96e-0e963c4f9257","Solaris","Stanislaw Lem","Ficção Científica","1","Translations into English | English fiction | Polish Science fiction | Polish fiction | Translations from Polish | Science fiction | Fiction, science fiction, general | Slavic philology | Life on other planets | Fiction | Emotions | Memory | Psychologists"
"cf014202-2fc9-4735-b046-78e5d9c5bf73","Solitario","Alice Oseman","SEM SUGESTÃO","0",""
"bbdbde3e-2a05-4b86-aeef-73c0b963e37e","Sombra e Ossos","Leigh Bardugo","SEM SUGESTÃO","0",""
"ac609493-ff87-4caa-8356-8fcd65bd0a39","SPQR","Mary Beard","História","1","Historia | History | Rome, history | Histoire | Antike | Romerska riket | Kejsare | nyt:paperback-nonfiction=2016-09-25 | New York Times bestseller"
"a180d06b-9dc4-49a2-94ea-dd40d0109880","Sprint","Jake Knapp","Negócios","3","prototyping | design thinking | sprint | design | Creative ability in business | Management | Problem solving | nyt:business-books=2016-04-10 | New York Times bestseller | Organizational innovation | Hd30.29 .k63 2016 | 658.4/03 | Success in business | Strategic planning | Entrepreneurship"
"8e79b2f6-c4b4-483e-90a3-ff8f0c24f9d4","Spy x Family Vol. 1","Tatsuya Endo","Mangás","1","nyt:graphic-books-and-manga=2021-05-09 | New York Times bestseller"
"6a097ae8-6333-4efe-b4bd-030be0efadba","Steve Jobs","Walter Isaacson","Negócios","2","TECHNOLOGY & ENGINEERING / General | History | Inc Apple Computer | BIOGRAPHY & AUTOBIOGRAPHY / Business | Computer engineers | Businesspeople | Biography | BUSINESS & ECONOMICS / General | New York Times bestseller | nyt:hardcover_business_books=2012-02-25 | Chief executive officers | TECHNOLOGY & ENGINEERING | Life Change Events | Biographies | Businessmen | Autoformation | Business | Développement d'aptitudes | General | BIOGRAPHY & AUTOBIOGRAPHY | Relations humaines | Computer industry | BUSINESS & ECONOMICS | Reading Level-Grade 11 | Reading Level-Grade 12 | Apple computer, inc. | Jobs, steve, 1955-2011 | Businesspeople, biography | Large type books | Negociantes | Ingenieros | Biografía | Ingenieros en computación | Empresarios | Industria de computadoras | Historia | nyt:combined-print-and-e-book-nonfiction=2011-11-13 | New York Times reviewed | nyt:paperback-nonfiction=2013-09-29 | Success in business | Leadership | Liderazgo | Apple Computers | University of Berkeley | Celebrities | Informaticiens | Apple Computer | Histoire | Chefs de direction | Vietnamese language materials | Gens d'affaires | Qi ye jia | Zhuan ji | Événements stressants de la vie | BUSINESS & ECONOMICS/Leadership/ | BIOGRAPHY & AUTOBIOGRAPHY/Business/ | COMPUTERS/History/ | Science & Technology | Mechanical | Apple Computer Inc | Popular Works"
"15275f7d-7ac7-4543-8aca-3edc468fef32","Superinteligencia","Nick Bostrom","SEM SUGESTÃO","0",""
"4f6c8b0e-748e-4a10-bb28-36c07c1cf0cb","Superman: Entre a Foice e o Martelo","Mark Millar","SEM SUGESTÃO","0",""
"7dd9d7c1-c269-47e2-9ddc-81fe9bfe567f","Talvez Um Dia","Colleen Hoover","SEM SUGESTÃO","0",""
"e11d512a-a43a-4127-802d-3a2a43e0f3dd","The Clean Coder","Robert C. Martin","Filosofia","1","Computer programmers | Computer programming | Moral and ethical aspects | Professional ethics | Computer programming--moral and ethical aspects | Computer programmers--professional ethics"
